aalib 1.4rc5-15
perl-image-exiftool 12.50-2
perl-mailtools 2.21-6
perl-timedate 2.33-4
picom 10.2-1
pinentry 1.2.1-1
pipewire 1:0.3.68-1
pixman 0.42.2-1
pkcs11-helper 1.29.0-2
pkgconf 1.8.1-1
playerctl 2.4.1-3
polkit 122-1
poppler 23.03.0-1
poppler-data 0.4.12-1
poppler-glib 23.03.0-1
popt 1.19-1
portaudio 1:19.7.0-2
postgresql-libs 15.2-1
potrace 1.16-2
powerline-common 2.8.3-1
powerline-fonts 2.8.3-1
ppp 2.4.9-3
procps-ng 3.3.17-1
protobuf 21.12-1
psmisc 23.6-1
pulseaudio 16.1-6
pulseaudio-alsa 1:1.2.7.1-2
pulseaudio-equalizer 16.1-6
pulseaudio-jack 16.1-6
python 3.10.10-1
python-attrs 22.2.0-1
python-beautifulsoup4 4.11.2-1
python-cairo 1.23.0-3
python-certifi 2022.12.07-1
python-cffi 1.15.1-1
python-chardet 5.1.0-1
python-click 8.1.3-1
python-cryptography 40.0.1-1
python-cssselect 1.2.0-1
python-decorator 5.1.1-2
python-distro 1.8.0-2
python-docopt 0.6.2-11
python-flask 2.2.2-1
python-flask-cors 3.0.10-4
python-gobject 3.44.1-1
python-idna 3.4-1
python-itsdangerous 2.1.2-2
python-jinja 1:3.1.2-2
python-jsonschema 4.17.3-1
python-keyutils 0.6-8
python-lxml 4.9.2-1
python-markdown 3.4.3-1
python-markupsafe 2.1.2-1
python-orjson 3.8.9-1
python-packaging 23.0-1
python-pillow 9.4.0-2
python-pip 23.0.1-1
python-ply 3.11-10
python-protobuf 21.12-1
python-pycparser 2.21-3
python-pyqt5 5.15.9-1
python-pyqt5-sip 12.11.1-1
python-pyqt6 6.4.2-1
python-pyqt6-sip 13.4.1-1
python-pyqt6-webengine 6.4.0-1
python-pyrsistent 0.19.3-1
python-pysocks 1.7.1-7
python-requests 2.28.2-1
python-send2trash 1.8.0-3
python-six 1.16.0-6
python-soupsieve 2.4-1
python-typing_extensions 4.5.0-1
python-urllib3 1.26.13-1
python-waitress 2.1.2-1
python-werkzeug 2.2.3-1
python-wheel 0.40.0-1
python-xlib 0.33-1
python-yaml 6.0-1
qt5-base 5.15.8+kde+r185-1
qt5-declarative 5.15.8+kde+r24-2
qt5-imageformats 5.15.8+kde+r9-1
qt5-location 5.15.8+kde+r4-2
qt5-sensors 5.15.8-1
qt5-svg 5.15.8+kde+r8-1
qt5-tools 5.15.8+kde+r1-3
qt5-translations 5.15.8-1
qt5-wayland 5.15.8+kde+r63-1
qt5-webchannel 5.15.8+kde+r3-1
qt5-webkit 5.212.0alpha4-18
qt5-x11extras 5.15.8-1
qt5-xmlpatterns 5.15.8-1
qt6-5compat 6.4.3-1
qt6-base 6.4.3-1
qt6-declarative 6.4.3-1
qt6-imageformats 6.4.3-1
qt6-multimedia 6.4.3-1
qt6-multimedia-ffmpeg 6.4.3-1
qt6-positioning 6.4.3-1
qt6-svg 6.4.3-1
qt6-translations 6.4.3-1
qt6-wayland 6.4.3-1
qt6-webchannel 6.4.3-1
qt6-webengine 6.4.3-1
quazip-qt5 1.4-1
r 4.2.3-1
raptor 2.0.16-2
rasqal 1:0.9.33-6
rav1e 0.6.3-1
rclone 1.62.2-1
rclone-mount-service 07032022-1
re2 1:20230301-1
readline 8.2.001-2
redland 1:1.0.17-8
rhash 1.4.3-1
ripgrep 13.0.0-3
rnnoise 0.4.1-1
rofi 1.7.5-1
rtkit 0.13-2
rubberband 3.2.1-1
ruby 3.0.5-1
ruby-abbrev 0.1.0-4
ruby-base64 0.1.1-4
ruby-benchmark 0.2.0-4
ruby-bigdecimal 3.1.2-4
ruby-bundledgems 3.0.5-1
ruby-bundler 2.4.1-1
ruby-cgi 0.3.6-1
ruby-csv 3.2.5-4
ruby-date 3.2.2-4
ruby-delegate 0.2.0-4
ruby-did_you_mean 1.6.1-4
ruby-digest 3.1.1-1
ruby-drb 2.1.0-5
ruby-english 0.7.1-5
ruby-erb 4.0.2-2
ruby-etc 1.3.0-6
ruby-fcntl 1.0.1-4
ruby-fiddle 1.1.0-4
ruby-fileutils 1.6.0-4
ruby-find 0.1.1-4
ruby-forwardable 1.3.2-6
ruby-getoptlong 0.1.1-3
ruby-io-console 0.5.11-3
ruby-io-nonblock 0.1.0-3
ruby-io-wait 0.2.3-4
ruby-ipaddr 1.2.4-3
ruby-irb 1.4.2-1
ruby-json 2.6.3-1
ruby-logger 1.5.1-3
ruby-minitest 5.16.3-1
ruby-mutex_m 0.1.1-3
ruby-net-http 0.2.2-2
ruby-open-uri 0.2.0-3
ruby-power_assert 2.0.2-1
ruby-psych 4.0.6-1
ruby-racc 1.6.0-3
ruby-rake 13.0.6-1
ruby-rdoc 6.4.0-4
ruby-reline 0.3.1-2
ruby-rexml 3.2.5-1
ruby-ruby2_keywords 0.0.5-1
ruby-stdlib 3.0.5-1
ruby-stringio 3.0.2-4
ruby-test-unit 3.5.7-1
ruby-time 0.2.0-4
ruby-tmpdir 0.1.2-3
ruby-uri 0.11.0-5
rubygems 3.3.25-1
scroll-git 0.1.r2.g51ee387-2
sdl2 2.26.5-1
sed 4.9-3
semver 7.3.8-1
shaderc 2023.3-1
shadow 4.13-2
shared-mime-info 2.2+13+ga2ffb28-1
slang 2.3.3-2
snapd 2.59.1-1
snappy 1.1.9-2
sndio 1.9.0-1
sound-theme-freedesktop 0.8-5
source-highlight 3.1.9-10
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2022.4-1
spotifyd 0.3.4-1
sqlite 3.41.2-1
squashfs-tools 4.6.1-1
srt 1.5.1-3
startup-notification 0.12-7
stlink 1.7.0-1
stm32cubeide 1.12.0-3
sudo 1.9.13.p3-1
svt-av1 1.4.1-1
sysfsutils 2.1.1-1
systemd 253.3-1
systemd-libs 253.3-1
systemd-sysvcompat 253.3-1
t1lib 5.1.2-8
taglib 1.13-1
tar 1.34-2
tcl 8.6.13-1
tdb 1.4.8-1
telegram-desktop 4.7.1-1
terminus-font 4.49.1-5
texinfo 7.0.3-1
texlive-bibtexextra 2023.66579-1
texlive-bin 2023.66539-1
texlive-core 2023.66587-2
texlive-fontsextra 2023.66328-1
texlive-formatsextra 2023.66186-1
texlive-games 2023.66190-1
texlive-humanities 2023.65502-1
texlive-latexextra 2023.66551-1
texlive-music 2023.66278-1
texlive-pictures 2023.66549-1
texlive-pstricks 2023.66115-1
texlive-publishers 2023.66550-1
texlive-science 2023.66461-1
thin-provisioning-tools 1.0.3-1
tk 8.6.13-1
tpm2-tss 3.2.0-3
tracker3 3.5.0-1
transmission-remote-gtk 1.5.1-1
tree 2.1.0-1
tree-sitter 0.20.8-2
tslib 1.22-1
ttf-3270-nerd 2.3.3-2
ttf-agave-nerd 2.3.3-2
ttf-anonymouspro-nerd 2.3.3-2
ttf-arimo-nerd 2.3.3-2
ttf-bigblueterminal-nerd 2.3.3-2
ttf-bitstream-vera-mono-nerd 2.3.3-2
ttf-cousine-nerd 2.3.3-2
ttf-daddytime-mono-nerd 2.3.3-2
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-dejavu-nerd 2.3.3-2
ttf-droid 20121017-10
ttf-fantasque-nerd 2.3.3-2
ttf-firacode-nerd 2.3.3-2
ttf-font-awesome 6.4.0-1
ttf-go-nerd 2.3.3-2
ttf-hack-nerd 2.3.3-2
